id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
128915456,2.553639,1.545378,0.85729,2117.27,0.85866,2119.95,94.3,2114.4,57.1,76,212,219,221,11.769,0.8587,0.0304266,0.320433,174.08,0.195558,174.08,0.320433,2.536022,1.539585,5.87489E+11,
130307072,0.792221,0.194622,0.8435,2090.21,0.84319,2089.6,28.9,2090,7.1,-87,-48,-454,-50.7,11.562,0.8432,0.0372121,0.260577,110.964,0.917161,110.964,0.260577,0.772972,0.187149,3.64754E+11,
130307200,1.283831,0.346874,0.84734,2097.77,0.84764,2098.36,47,2097.2,12.7,-1,52,-464,49.2,12.536,0.8476,0.011844,0.820136,134.613,1.42625,134.613,0.820136,1.265064,0.337929,3.43558E+12,
130307328,0.399719,1.680453,0.844,2091.19,0.84302,2089.27,14.58,2090.24,61.32,266,-328,146,-158.5,13.742,0.843,0.627056,0.45457,120.593,0,120.593,0.45457,0.380762,1.66898,5.52077E+13,
130307456,0.079145,1.429776,0.84851,2100.06,0.84968,2102.35,2.9,2099.4,52.4,-275,182,324,189.6,11.441,0.8497,0.0452869,0.633804,174.348,0.352787,174.348,0.633804,0.062038,1.417664,2.76058E+11,
130307584,1.197198,2.050923,0.84487,2092.9,0.845,2093.16,43.7,2091.1,74.9,-355,27,53,21.5,11.856,0.845,0.0159782,0.605533,169.045,0.199832,169.045,0.605533,1.180277,2.040647,7.17794E+11,
130307712,1.901044,1.438209,0.8463,2095.71,0.84688,2096.86,69.5,2093.9,52.6,159,83,261,94.8,11.77,0.8469,0.0330637,0.693917,-89.5673,0.557696,-89.5673,0.693917,1.883519,1.43091,5.88844E+11,
130307840,0.450601,2.420855,0.84845,2099.94,0.84844,2099.93,16.5,2098,88.7,-569,3,19,-0.7,11.892,0.8484,0.0091775,0.411797,-150.713,0.131388,-150.713,0.411797,0.433381,2.412391,7.7983E+11,
130308224,1.466342,2.648202,0.84488,2092.92,0.84511,2093.39,53.5,2090,96.7,-88,49,-177,38.5,11.318,0.8451,0.0579485,0.8199,-139.383,0.375153,-139.383,0.8199,1.452915,2.639245,2.0797E+11,
130308480,2.231281,2.927998,0.84778,2098.63,0.84861,2100.26,81.6,2094.3,107.2,-203,156,-249,135.1,11.454,0.8486,0.0245613,0.733162,-134.268,0.512317,-134.268,0.733162,2.218318,2.921503,2.84446E+11,
